,case_number,property_type,auction_date,percentage,result,auction_count,appraised_value,minimum_bid_price,sale_price,sale_rate,number_of_bidders,land_m2,land_pyung,building_m2_x,building_pyung,image,full_address_jibun,b_code,h_code,region1,region2,region3,main_address_no,sub_address_no,apartment_block,floor,room,full_address_road,building_name,road_name_x,main_building_no,sub_building_no,postcode,latitude,longitude,apartment_name,building_m2_y,construction_year,contract_price,contract_year,contract_month,contract_date,contract_type,contract_date_full,date_difference
977,2021-50915(1),아파트,2022-04-11,100,배당종결,0,1,1,1,100,1,70.11,21.21,170.7,51.64,http://img1.speedauction.co.kr/new_gamimg/2022/A02/2021/50915/31957_AUTO_204.jpg,서울 송파구 문정동 1,1171010800,1171064100,서울,송파구,문정동,1,,114동,17.0,1701,서울 송파구 문정로 83,문정래미안아파트,문정로,83,,05794,37.4906216221509,127.130293454812,문정래미안,84.96,2004.0,168,2021,6,9,,2021-06-09,306 days
978,2020-6376(1),아파트,2022-04-06,100,배당종결,0,1,1,2,108,4,43.5155,13.16,84.9321,25.69,http://img1.speedauction.co.kr/new_gamimg/2022/A01/2020/6376/100524.jpg,서울 서초구 방배동 424-28,1165010100,1165061000,서울,서초구,방배동,424,28,104동,13.0,1303,서울 서초구 방배천로18길 11,방배롯데캐슬아르떼,방배천로18길,11,,06676,37.4836231357856,126.984446674831,롯데캐슬아르떼,216.277,2013.0,283,2021,9,3,,2021-09-03,215 days
979,2021-103013(1),아파트,2022-04-06,80,배당종결,1,1,1,1,85,2,48.58,14.7,84.94,25.69,http://img1.speedauction.co.kr/new_gamimg/2022/A05/2021/103013/175490.jpg,서울 성북구 길음동 1284,1129013400,1129066000,서울,성북구,길음동,1284,,815동,6.0,603,서울 성북구 길음로 33,길음뉴타운,길음로,33,,02720,37.6050832927232,127.022078590713,길음뉴타운8단지(래미안),59.9,2010.0,80,2023,3,13,중개거래,2023-03-13,-341 days
980,2021-103013(1),아파트,2022-04-06,80,배당종결,1,1,1,1,85,2,48.58,14.7,84.94,25.69,http://img1.speedauction.co.kr/new_gamimg/2022/A05/2021/103013/175490.jpg,서울 성북구 길음동 1284,1129013400,1129066000,서울,성북구,길음동,1284,,815동,6.0,603,서울 성북구 길음로 33,길음뉴타운,길음로,33,,02720,37.6050832927232,127.022078590713,길음뉴타운8단지(래미안),84.82,2010.0,116,2021,8,21,,2021-08-21,228 days
981,2021-103013(1),아파트,2022-04-06,80,배당종결,1,1,1,1,85,2,48.58,14.7,84.94,25.69,http://img1.speedauction.co.kr/new_gamimg/2022/A05/2021/103013/175490.jpg,서울 성북구 길음동 1284,1129013400,1129066000,서울,성북구,길음동,1284,,815동,6.0,603,서울 성북구 길음로 33,길음뉴타운,길음로,33,,02720,37.6050832927232,127.022078590713,길음뉴타운8단지(래미안),59.99,2010.0,106,2021,9,18,,2021-09-18,200 days
982,2021-103013(1),아파트,2022-04-06,80,배당종결,1,1,1,1,85,2,48.58,14.7,84.94,25.69,http://img1.speedauction.co.kr/new_gamimg/2022/A05/2021/103013/175490.jpg,서울 성북구 길음동 1284,1129013400,1129066000,서울,성북구,길음동,1284,,815동,6.0,603,서울 성북구 길음로 33,길음뉴타운,길음로,33,,02720,37.6050832927232,127.022078590713,길음뉴타운8단지(래미안),59.99,2010.0,92,2022,3,29,중개거래,2022-03-29,8 days
983,2021-103013(1),아파트,2022-04-06,80,배당종결,1,1,1,1,85,2,48.58,14.7,84.94,25.69,http://img1.speedauction.co.kr/new_gamimg/2022/A05/2021/103013/175490.jpg,서울 성북구 길음동 1284,1129013400,1129066000,서울,성북구,길음동,1284,,815동,6.0,603,서울 성북구 길음로 33,길음뉴타운,길음로,33,,02720,37.6050832927232,127.022078590713,길음뉴타운8단지(래미안),59.99,2010.0,94,2022,5,28,중개거래,2022-05-28,-52 days
984,2021-103013(1),아파트,2022-04-06,80,배당종결,1,1,1,1,85,2,48.58,14.7,84.94,25.69,http://img1.speedauction.co.kr/new_gamimg/2022/A05/2021/103013/175490.jpg,서울 성북구 길음동 1284,1129013400,1129066000,서울,성북구,길음동,1284,,815동,6.0,603,서울 성북구 길음로 33,길음뉴타운,길음로,33,,02720,37.6050832927232,127.022078590713,길음뉴타운8단지(래미안),59.99,2010.0,86,2020,11,19,,2020-11-19,503 days
985,2021-103013(1),아파트,2022-04-06,80,배당종결,1,1,1,1,85,2,48.58,14.7,84.94,25.69,http://img1.speedauction.co.kr/new_gamimg/2022/A05/2021/103013/175490.jpg,서울 성북구 길음동 1284,1129013400,1129066000,서울,성북구,길음동,1284,,815동,6.0,603,서울 성북구 길음로 33,길음뉴타운,길음로,33,,02720,37.6050832927232,127.022078590713,길음뉴타운8단지(래미안),59.99,2010.0,90,2020,12,19,,2020-12-19,473 days
986,2021-103013(1),아파트,2022-04-06,80,배당종결,1,1,1,1,85,2,48.58,14.7,84.94,25.69,http://img1.speedauction.co.kr/new_gamimg/2022/A05/2021/103013/175490.jpg,서울 성북구 길음동 1284,1129013400,1129066000,서울,성북구,길음동,1284,,815동,6.0,603,서울 성북구 길음로 33,길음뉴타운,길음로,33,,02720,37.6050832927232,127.022078590713,길음뉴타운8단지(래미안),59.99,2010.0,91,2021,5,8,,2021-05-08,333 days
987,2021-103013(1),아파트,2022-04-06,80,배당종결,1,1,1,1,85,2,48.58,14.7,84.94,25.69,http://img1.speedauction.co.kr/new_gamimg/2022/A05/2021/103013/175490.jpg,서울 성북구 길음동 1284,1129013400,1129066000,서울,성북구,길음동,1284,,815동,6.0,603,서울 성북구 길음로 33,길음뉴타운,길음로,33,,02720,37.6050832927232,127.022078590713,길음뉴타운8단지(래미안),114.99,2010.0,149,2021,7,10,,2021-07-10,270 days
988,2020-110325(1),아파트,2022-03-29,100,배당종결,0,1,1,1,109,3,87.48,26.46,177.86,53.8,http://img1.speedauction.co.kr/new_gamimg/2021/A04/2020/110325/122150.jpg,서울 강서구 화곡동 1145,1150010300,1150059100,서울,강서구,화곡동,1145,,305동,10.0,1002,서울 강서구 공항대로 382,우장산롯데캐슬,공항대로,382,,07648,37.5556368030986,126.848318501804,우장산롯데캐슬,117.19,2003.0,112,2023,6,16,중개거래,2023-06-16,-444 days
989,2020-110325(1),아파트,2022-03-29,100,배당종결,0,1,1,1,109,3,87.48,26.46,177.86,53.8,http://img1.speedauction.co.kr/new_gamimg/2021/A04/2020/110325/122150.jpg,서울 강서구 화곡동 1145,1150010300,1150059100,서울,강서구,화곡동,1145,,305동,10.0,1002,서울 강서구 공항대로 382,우장산롯데캐슬,공항대로,382,,07648,37.5556368030986,126.848318501804,우장산롯데캐슬,177.86,2003.0,166,2021,12,2,중개거래,2021-12-02,117 days
990,2020-110325(1),아파트,2022-03-29,100,배당종결,0,1,1,1,109,3,87.48,26.46,177.86,53.8,http://img1.speedauction.co.kr/new_gamimg/2021/A04/2020/110325/122150.jpg,서울 강서구 화곡동 1145,1150010300,1150059100,서울,강서구,화곡동,1145,,305동,10.0,1002,서울 강서구 공항대로 382,우장산롯데캐슬,공항대로,382,,07648,37.5556368030986,126.848318501804,우장산롯데캐슬,177.86,2003.0,154,2022,1,18,중개거래,2022-01-18,70 days
991,2020-110325(1),아파트,2022-03-29,100,배당종결,0,1,1,1,109,3,87.48,26.46,177.86,53.8,http://img1.speedauction.co.kr/new_gamimg/2021/A04/2020/110325/122150.jpg,서울 강서구 화곡동 1145,1150010300,1150059100,서울,강서구,화곡동,1145,,305동,10.0,1002,서울 강서구 공항대로 382,우장산롯데캐슬,공항대로,382,,07648,37.5556368030986,126.848318501804,우장산롯데캐슬,117.19,2003.0,117,2020,11,18,,2020-11-18,496 days
