,no,case_number,property_type,city,district,neighborhood,address_number,apartment_block,floor,room,apartment_name,full_address,auction_date,percentage,result,auction_count,appraised_value,minimum_bid_price,sale_price,sale_rate,number_of_bidders,land_m2,land_pyung,building_m2,building_pyung,image
870,871,2020-53351(1),아파트,서울특별시,강동구,길동,143-4,,4.0,403,서한베네치아아파트,서울특별시 강동구 길동 143-4 서한베네치아아파트 제4층 제403호,2020-11-30,100,배당종결,0,505000000,505000000,599900000,119,2,32.92,9.96,83.86,25.37,http://img1.speedauction.co.kr/new_gamimg/2020/A02/2020/53351/524829.jpg
871,872,2020-2288(1),아파트,서울특별시,양천구,신정동,327,1332동,12.0,1202,목동신시가지아파트,서울특별시 양천구 신정동 327외 1필지 목동신시가지아파트 제1332동 제12층 제1202호,2020-11-26,100,배당종결,0,1952000000,1952000000,1970500000,101,1,113.77,34.42,151.76,45.91,http://img1.speedauction.co.kr/new_gamimg/2020/A04/2020/2288/116603.jpg
872,873,2020-2325(1),아파트,서울특별시,구로구,개봉동,492,101동,14.0,1401,,서울특별시 구로구 개봉동 492 개봉푸르지오 제101동 제14층 제1401호,2020-11-26,100,배당종결,0,793000000,793000000,911000000,115,7,50.5506,15.29,119.98,36.29,http://img1.speedauction.co.kr/new_gamimg/2020/A04/2020/2325/116496.jpg
873,874,2019-109415(1),아파트,서울특별시,강남구,청담동,134-38,105동,22.0,2204,청담자이아파트,서울특별시 강남구 청담동 134-38 청담자이아파트 제105동 제22층 제2204호,2020-11-25,80,배당종결,1,3100000000,2480000000,3030300000,98,7,45.0515,13.63,89.115,26.96,http://img1.speedauction.co.kr/new_gamimg/2020/A01/2019/109415/2346.jpg
874,875,2019-110378(1),아파트,서울특별시,강남구,일원동,716,109동,7.0,703,목련타운아파트,서울특별시 강남구 일원동 716 목련타운아파트 제109동 제7층 제703호,2020-11-25,100,배당종결,0,169000000,169000000,170010000,101,1,3.983,1.2,9.072,2.74,http://img1.speedauction.co.kr/new_gamimg/2020/A01/2019/110378/57408.jpg
875,876,2020-1124(1),아파트,서울특별시,강서구,화곡동,1145,303동,2.0,202,,서울특별시 강서구 화곡동 1145 우장산롯데캐슬 제303동 제2층 제202호,2020-11-25,100,배당종결,0,990000000,990000000,1237000000,125,6,87.48,26.46,177.86,53.8,http://img1.speedauction.co.kr/new_gamimg/2020/A04/2020/1124/113009.jpg
876,877,2020-107(1),아파트,서울특별시,구로구,개봉동,270-80,2동,2.0,208,거성아파트,서울특별시 구로구 개봉동 270-80 거성아파트 제2동 제2층 제208호,2020-11-24,80,배당종결,1,115000000,92000000,105890000,92,6,21.245,6.43,29.115,8.81,http://img1.speedauction.co.kr/new_gamimg/2020/A04/2020/107/1053253.jpg
877,878,2020-100212(1),아파트,서울특별시,구로구,오류동,342,102동,15.0,1503,영풍마드레빌아파트,서울특별시 구로구 오류동 342 영풍마드레빌아파트 제102동 제15층 제1503호,2020-11-24,100,배당종결,0,541000000,541000000,649743360,120,10,38.761,11.73,84.741,25.63,http://img1.speedauction.co.kr/new_gamimg/2020/A04/2020/100212/107249.jpg
878,879,2019-51762(1),아파트,서울특별시,송파구,가락동,126-2,,8.0,801,프라임아파트,서울특별시 송파구 가락동 126-2 프라임아파트 제8층 제801호,2020-11-23,100,배당종결,0,563000000,563000000,766660000,136,3,31.68,9.58,84.4,25.53,http://img1.speedauction.co.kr/new_gamimg/2020/A02/2019/51762/429975.jpg
879,880,2019-9942(1),아파트,서울특별시,서초구,방배동,460-1,,1.0,101,덕산럭스아파트,서울특별시 서초구 방배동 460-1외 2필지 덕산럭스아파트 제1층 제101호,2020-11-17,80,배당종결,1,1550000000,1240000000,1377700000,89,2,58.25,17.62,142.26,43.03,http://img1.speedauction.co.kr/new_gamimg/2020/A01/2019/9942/88567.jpg
880,881,2019-108852(1),아파트,서울특별시,강서구,화곡동,923-17,,6.0,602,효성아파트,서울특별시 강서구 화곡동 923-17 효성아파트 제6층 제602호,2020-11-17,64,배당종결,2,168000000,107520000,131800000,78,1,19.99,6.05,51.18,15.48,http://img1.speedauction.co.kr/new_gamimg/2020/A04/2019/108852/09780_AUTO_16.jpg
881,882,2019-5271(2),아파트,서울특별시,강동구,길동,414-4,,16.0,1608,,서울특별시 강동구 길동 414-4 강동와이시티 제16층 제1608호,2020-11-16,64,배당종결,2,126000000,80640000,102000010,81,10,3.5981,1.09,13.97,4.23,http://img1.speedauction.co.kr/new_gamimg/2020/A02/2019/5271/50349_AUTO_59.jpg
882,883,2020-51294(1),아파트,서울특별시,송파구,가락동,79,,8.0,801,,서울특별시 송파구 가락동 79외 1필지 송파롯데캐슬파인힐 제8층 제801호,2020-11-16,100,배당종결,0,1148000000,1148000000,1220000010,106,6,24.616,7.45,180.667,54.65,http://img1.speedauction.co.kr/new_gamimg/2020/A02/2020/51294/251356.jpg
883,884,2019-9064(1),아파트,서울특별시,노원구,월계동,496-2,,4.0,402,송암아파트,서울특별시 노원구 월계동 496-2 송암아파트 제4층 제402호,2020-11-16,80,배당종결,1,280000000,224000000,242550000,87,2,27.35,8.27,58.23,17.61,http://img1.speedauction.co.kr/new_gamimg/2020/A05/2019/9064/278917.jpg
884,885,2020-452(1),아파트,서울특별시,동대문구,청량리동,235-11,3동,4.0,403,미주아파트,서울특별시 동대문구 청량리동 235-11 미주아파트 제3동 제4층 제403호,2020-11-16,100,배당종결,0,570000000,570000000,630000000,111,3,30.65,9.27,68.745,20.8,http://img1.speedauction.co.kr/new_gamimg/2020/A05/2020/452/262886.jpg
885,886,2019-107280(1),아파트,서울특별시,관악구,신림동,1735,205동,7.0,702,,서울특별시 관악구 신림동 1735 관악산휴먼시아 제205동 제7층 제702호,2020-11-12,100,배당종결,0,575000000,575000000,707778770,123,7,47.6202,14.41,84.97,25.7,http://img1.speedauction.co.kr/new_gamimg/2020/A01/2019/107280/5549.jpg
886,887,2019-109538(1),아파트,서울특별시,동작구,노량진동,325,706동,20.0,2005,,서울특별시 동작구 노량진동 325 신동아리버파크 제706동 제20층 제2005호,2020-11-12,100,배당종결,0,655000000,655000000,837000000,128,32,23.55,7.12,59.67,18.05,http://img1.speedauction.co.kr/new_gamimg/2020/A01/2019/109538/55944.jpg
887,888,2019-109107(1),아파트,서울특별시,양천구,신월동,134-17,,8.0,804,태형아파트,서울특별시 양천구 신월동 134-17 태형아파트 제8층 제804호,2020-11-11,80,배당종결,1,249000000,199200000,273400000,110,3,18.58,5.62,59.76,18.08,http://img1.speedauction.co.kr/new_gamimg/2020/A04/2019/109107/114154.jpg
888,889,2019-6844(1),아파트,서울특별시,동작구,신대방동,711,101동,11.0,1105,보라매파크빌아파트,서울특별시 동작구 신대방동 711 보라매파크빌아파트 제101동 제11층 제1105호,2020-11-10,100,배당종결,0,893000000,893000000,1183110000,132,10,42.87,12.97,84.59,25.59,http://img1.speedauction.co.kr/new_gamimg/2020/A01/2019/6844/100312.jpg
889,890,2019-108821(1),아파트,서울특별시,구로구,개봉동,481,117동,22.0,2201,현대아파트,서울특별시 구로구 개봉동 481 현대아파트 제117동 제22층 제2201호,2020-11-10,100,배당종결,0,762000000,762000000,861867000,113,4,41.78,12.64,114.99,34.78,http://img1.speedauction.co.kr/new_gamimg/2020/A04/2019/108821/91697.jpg
